"Treatment","GPP (g C)","Rg (g C)","Rm (g C)","Cs (g C)","Cf (g C)","Cr (g C)","Cw (g C)","Cflit (g C)","Crlit (g C)"
"ambient watered",11011.9029745502,1909.66681067875,3262.27877948594,389.17437656688,1753.95922069433,842.103284310366,2666.32810993801,137.776866373535,50.6155265023684
"elevated watered",11464.8356316813,1121.80230696863,3860.74620810144,836.206742614594,1703.15498690836,582.141325558094,3189.37176386851,106.671285027892,64.7410126337626
