"Treatment","GPP (g C)","Rg (g C)","Rm (g C)","Cs (g C)","Cf (g C)","Cr (g C)","Cw (g C)","Cflit (g C)","Crlit (g C)"
"ambient watered",5736.55817291896,888.282874088474,1841.69662277813,179.639586380242,971.40258522629,569.155503021623,1093.09141685547,110.212705260933,83.0768793077938
"elevated watered",5532.40881986951,449.189894155417,2138.77409494113,473.539409190396,444.736590747847,616.838181574767,1234.46436423921,122.502268758782,52.3640162619618
