"Treatment","GPP (g C)","Rg (g C)","Rm (g C)","Cs (g C)","Cf (g C)","Cr (g C)","Cw (g C)","Cflit (g C)","Crlit (g C)"
"ambient watered",11011.9029745502,1969.44918894539,2998.93156827918,348.931305803563,1264.54242638257,1109.82552754748,3104.88679678559,136.476397595691,78.8597632107421
"elevated watered",11464.8356316813,937.330627703966,4053.4132057463,986.888644224999,1998.84367772747,671.059511167941,2618.32076007935,126.477698065187,72.5015069660615
