"Treatment","GPP (g C)","Rg (g C)","Rm (g C)","Cs (g C)","Cf (g C)","Cr (g C)","Cw (g C)","Cflit (g C)","Crlit (g C)"
"ambient watered",11011.9029745502,2093.95575977676,3267.06019168742,230.529825950615,1693.29186721761,928.083514742247,2600.27484822464,126.070187553914,72.6367793969972
"elevated watered",11464.8356316813,1443.01568100286,4087.73592002067,662.956244941323,2035.89821394841,686.296501040294,2322.28420442845,131.143749019246,95.5051172800269
