"Treatment","GPP (g C)","Ra (g C)","Rm_root (g C)","Rg_root (g C)","Cs_foliage (g C)","Cs_wood (g C)","Cs_root (g C)","Clit_foliage (g C)","Cn (g C)","Clit_root (g C)"
"ambient drought",9159.77335324274,2612.81638324469,770.61007792026,283.157479198259,917.693009554838,2902.64386493454,943.858263994197,72.1930041421732,367.766113665682,7.21930041421732
"ambient watered",11011.9029818596,2818.4157234996,836.803166915817,309.319397015356,1062.53457966325,3643.20308584299,1031.06465671785,112.388305620039,409.331256539671,11.2388305620039
"elevated drought",10606.7238539331,3239.26647332112,845.432868164224,216.524106229431,948.94066769833,3707.94258163968,721.747020764769,138.505693519345,401.895153953445,13.8505693519345
"elevated watered",11464.8356315141,3576.45218730095,923.633274216314,206.203616360615,981.356191317971,4156.84657570305,687.345387868717,222.88836604753,391.931031525988,22.288836604753
