"Date","T_treatment","chamber_type","GPP","Ra","LA","GPP_SE","Ra_SE","LA_SE","RM","RM_SE","LM","WM","LM_SE","WM_SE","litter","litter_SE","TNC_tot","TNC_tot_SE","TNC_leaf","TNC_leaf_SE","TNC_wood","TNC_wood_SE","TNC_root","TNC_root_SE"
2013-09-17,"ambient","drought",17.9654819553602,4.82118566046828,2.77783140099107,3.74987402621668,0.421560876983189,0.599778914393873,287.741736005803,86.5341743836903,185.068193632262,241.679338068423,55.2547879254682,57.1686431731109,0.048,0.0048,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-17,"ambient","watered",19.7070328389865,4.44270443402777,3.91290450608653,2.79994638888556,1.09937101215398,0.624658210344065,309.751343282147,38.0880997263834,275.736952396543,326.840794091516,40.909575879832,11.3385968889728,0.048,0.0048,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-17,"elevated","drought",26.5692975776806,6.82867152376334,5.07220392085306,5.02538281367728,0.53052988457686,0.989015240889606,365.020979235231,122.960992964252,323.1550476725,478.645365917183,56.6865417248376,82.6722573095755,0.048,0.0048,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-17,"elevated","watered",25.8915798676811,6.78923572081275,5.17281088466696,4.3920475379345,1.27847189642726,1.06298594886881,442.958612131283,172.410465182862,324.736833652239,524.08465261357,96.2263011029378,122.441168087517,0.048,0.0048,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-18,"ambient","drought",15.1092287358806,5.20396947149946,2.81440358675473,2.62398130169707,0.695568435740883,0.614135278061662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-18,"ambient","watered",20.1980051043248,4.91846680049236,3.95107455748737,4.59258795306168,0.752125641376919,0.635133918505085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-18,"elevated","drought",24.1080181362677,7.33000897189496,5.1522262684022,3.08195788698794,0.673467063077274,1.00891501328497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-18,"elevated","watered",22.8992655217183,7.25121226303803,5.23688637734611,2.86105248828128,1.34453934635975,1.07509425429723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-19,"ambient","drought",19.2874089787371,4.04126622481046,2.85116825610253,5.4368468719887,0.467838164274241,0.628717461836397,NA,NA,NA,NA,NA,NA,NA,NA,48.8187872418318,2.44669912222378,36.4507059962268,1.82683584341451,7.95516575342263,0.398696857618078,4.41291549218236,0.221166421191195
2013-09-19,"ambient","watered",22.3992656414654,3.28722736380712,3.98940364627249,4.67286358180782,0.935832677796019,0.64565277215235,NA,NA,NA,NA,NA,NA,NA,NA,88.7100586365682,5.7320945123716,66.2356532998598,4.27988697830672,14.4555663981149,0.934061752380585,8.0188389385936,0.518145781684293
2013-09-19,"elevated","drought",25.5478237810617,5.75693516619768,5.23289869510782,4.58943676516304,0.537051241777617,1.02908353627668,NA,NA,NA,NA,NA,NA,NA,NA,114.997261902279,7.6612496235333,85.863078966027,5.72029690552873,18.7391439097138,1.24842328285719,10.3950390265385,0.69252943514739
2013-09-19,"elevated","watered",31.3669275841348,5.88469173135357,5.30134052483619,3.96010360147574,1.21973985267315,1.08729218846834,NA,NA,NA,NA,NA,NA,NA,NA,84.295579882487,7.13830130931787,62.9395684054419,5.32983584884038,13.7362140301481,1.16320730853466,7.6197974468971,0.645258151942827
2013-09-20,"ambient","drought",16.1772051356253,3.28546423238922,2.88812548353776,4.55930546828252,0.28929772820002,0.643526430250769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-20,"ambient","watered",21.2364618908418,2.59766672614954,4.0278914915449,4.15369561484558,0.549592046305317,0.656214618641295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-20,"elevated","drought",25.2242624697424,4.81802346147672,5.31422262894764,4.58574595452361,0.442705973804843,1.04952178138547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-20,"elevated","watered",25.551809558616,4.93494382683018,5.36617365632851,4.30398978317187,0.860045637575428,1.09957897035419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-21,"ambient","drought",16.2229159740154,4.12732140715124,2.92527534306434,4.05592470644182,0.150371844326249,0.658563101714936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-21,"ambient","watered",20.7004379750219,3.27527317797224,4.06653781460026,5.22451038999398,0.937108240142377,0.666819306739315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-21,"elevated","drought",25.1259646895973,6.03423723182489,5.39619949054874,4.04548522326202,0.449757388088686,1.07023069751624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-21,"elevated","watered",26.7507209852445,6.20769588378621,5.43138610097299,4.52833588589627,1.08229197957749,1.11195382908305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-22,"ambient","drought",16.3337803011417,5.06102186341089,2.96261790819472,3.46279338954844,0.302575659457966,0.673828350778804,NA,NA,NA,NA,NA,NA,2.81624711072,2.32424637810513,NA,NA,NA,NA,NA,NA,NA,NA
