"Date","T_treatment","chamber_type","GPP","Ra","LA","GPP_SE","Ra_SE","LA_SE","RM","RM_SE","LM","WM","LM_SE","WM_SE","litter","litter_SE","TNC_tot","TNC_tot_SE","TNC_leaf","TNC_leaf_SE","TNC_wood","TNC_wood_SE","TNC_root","TNC_root_SE","BMratio","SMratio","BMratio_SE","SMratio_SE","FRratio","IRratio","CRratio","BRratio","FRratio_SE","IRratio_SE","CRratio_SE","BRratio_SE","Rd.foliage.mean","Rd.stem.mean","Rd.branch.mean","Rd.fineroot.mean","Rd.intermediateroot.mean","Rd.coarseroot.mean","Rd.boleroot.mean","Treatment"
2013-09-17,"ambient","drought",17.9654819553602,4.82118566046828,2.77783140099107,3.74987402621668,0.421560876983189,0.599778914393873,287.741736005803,86.5341743836903,185.068193632262,241.679338068423,55.2547879254682,57.1686431731109,0.048,0.0048,NA,NA,NA,NA,NA,NA,NA,NA,0.238679449172882,0.761320550827118,0.0110409200489549,0.0110409200489549,0.580759933273847,0.419240066726153,0,0,0.0240194487510714,0.0240194487510714,0,0,0.00780516497267576,0.000911876326085189,0.0018483141012634,0.00550009588777051,0.00301490135756959,0.00165263122340936,0.000815335059850543,"ambient drought"
2013-09-17,"ambient","watered",19.7070328389865,4.44270443402777,3.91290450608653,2.79994638888556,1.09937101215398,0.624658210344065,309.751343282147,38.0880997263834,275.736952396543,326.840794091516,40.909575879832,11.3385968889728,0.048,0.0048,NA,NA,NA,NA,NA,NA,NA,NA,0.238679449172882,0.761320550827118,0.0110409200489549,0.0110409200489549,0.580759933273847,0.419240066726153,0,0,0.0240194487510714,0.0240194487510714,0,0,0.00780516497267576,0.000911876326085189,0.0018483141012634,0.00550009588777051,0.00301490135756959,0.00165263122340936,0.000815335059850543,"ambient watered"
2013-09-17,"elevated","drought",26.5692975776806,6.82867152376334,5.07220392085306,5.02538281367728,0.53052988457686,0.989015240889606,365.020979235231,122.960992964252,323.1550476725,478.645365917183,56.6865417248376,82.6722573095755,0.048,0.0048,NA,NA,NA,NA,NA,NA,NA,NA,0.238679449172882,0.761320550827118,0.0110409200489549,0.0110409200489549,0.580759933273847,0.419240066726153,0,0,0.0240194487510714,0.0240194487510714,0,0,0.0083315561158075,0.00111842414351153,0.00177269124371492,0.00642968058494636,0.00311663260464118,0.00151071249403184,0.000953136838251037,"elevated drought"
2013-09-17,"elevated","watered",25.8915798676811,6.78923572081275,5.17281088466696,4.3920475379345,1.27847189642726,1.06298594886881,442.958612131283,172.410465182862,324.736833652239,524.08465261357,96.2263011029378,122.441168087517,0.048,0.0048,NA,NA,NA,NA,NA,NA,NA,NA,0.238679449172882,0.761320550827118,0.0110409200489549,0.0110409200489549,0.580759933273847,0.419240066726153,0,0,0.0240194487510714,0.0240194487510714,0,0,0.0083315561158075,0.00111842414351153,0.00177269124371492,0.00642968058494636,0.00311663260464118,0.00151071249403184,0.000953136838251037,"elevated watered"
2013-09-18,"ambient","drought",15.1092287358806,5.20396947149946,2.81440358675473,2.62398130169707,0.695568435740883,0.614135278061662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237868181530918,0.762131818469082,0.011004591508949,0.011004591508949,0.578930792635922,0.418522732322016,0.00113899243292206,0.00140739365260369,0.0239659873338401,0.0239590221241307,9.9038548700179e-05,8.51113655211396e-05,0.00821713119277118,0.00102774908088188,0.00208318065116323,0.00615606819552069,0.00337447541618946,0.00184973329937322,0.000912576495584237,"ambient drought"
2013-09-18,"ambient","watered",20.1980051043248,4.91846680049236,3.95107455748737,4.59258795306168,0.752125641376919,0.635133918505085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237868181530918,0.762131818469082,0.011004591508949,0.011004591508949,0.578930792635922,0.418522732322016,0.00113899243292206,0.00140739365260369,0.0239659873338401,0.0239590221241307,9.9038548700179e-05,8.51113655211396e-05,0.00821713119277118,0.00102774908088188,0.00208318065116323,0.00615606819552069,0.00337447541618946,0.00184973329937322,0.000912576495584237,"ambient watered"
2013-09-18,"elevated","drought",24.1080181362677,7.33000897189496,5.1522262684022,3.08195788698794,0.673467063077274,1.00891501328497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237868181530918,0.762131818469082,0.011004591508949,0.011004591508949,0.578930792635922,0.418522732322016,0.00113899243292206,0.00140739365260369,0.0239659873338401,0.0239590221241307,9.9038548700179e-05,8.51113655211396e-05,0.00853428369637997,0.00122639343580064,0.0019438215077935,0.00701150585229578,0.00339865837162418,0.00164741768321124,0.00103938670531821,"elevated drought"
2013-09-18,"elevated","watered",22.8992655217183,7.25121226303803,5.23688637734611,2.86105248828128,1.34453934635975,1.07509425429723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237868181530918,0.762131818469082,0.011004591508949,0.011004591508949,0.578930792635922,0.418522732322016,0.00113899243292206,0.00140739365260369,0.0239659873338401,0.0239590221241307,9.9038548700179e-05,8.51113655211396e-05,0.00853428369637997,0.00122639343580064,0.0019438215077935,0.00701150585229578,0.00339865837162418,0.00164741768321124,0.00103938670531821,"elevated watered"
2013-09-19,"ambient","drought",19.2874089787371,4.04126622481046,2.85116825610253,5.4368468719887,0.467838164274241,0.628717461836397,NA,NA,NA,NA,NA,NA,NA,NA,48.8187872418318,2.44669912222378,36.4507059962268,1.82683584341451,7.95516575342263,0.398696857618078,4.41291549218236,0.221166421191195,0.237056913888953,0.762943086111047,0.0109682629689431,0.0109682629689431,0.577101651997998,0.417805397917879,0.00227798486584413,0.00281478730520737,0.0239125259166087,0.0238985954971899,0.000198077097400358,0.000170222731042279,0.00635584352005571,0.000828704081303046,0.00167972936179051,0.00568714896485712,0.00311743531107755,0.00170883565364765,0.000843063836750733,"ambient drought"
2013-09-19,"ambient","watered",22.3992656414654,3.28722736380712,3.98940364627249,4.67286358180782,0.935832677796019,0.64565277215235,NA,NA,NA,NA,NA,NA,NA,NA,88.7100586365682,5.7320945123716,66.2356532998598,4.27988697830672,14.4555663981149,0.934061752380585,8.0188389385936,0.518145781684293,0.237056913888953,0.762943086111047,0.0109682629689431,0.0109682629689431,0.577101651997998,0.417805397917879,0.00227798486584413,0.00281478730520737,0.0239125259166087,0.0238985954971899,0.000198077097400358,0.000170222731042279,0.00635584352005571,0.000828704081303046,0.00167972936179051,0.00568714896485712,0.00311743531107755,0.00170883565364765,0.000843063836750733,"ambient watered"
