"organs","ambient","warmed","amb_ratio","warm_ratio","average_ratio"
"foliage",245,380,0.337931034482759,0.322033898305085,0.329982466393922
"wood",370,650,0.510344827586207,0.550847457627119,0.530596142606663
"root",110,150,0.151724137931034,0.127118644067797,0.139421390999416
"total",725,1180,1,1,1
